product_title,product_vendor,product_type,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
NYX Professional Makeup- Extra Creamy Round Lipstick 558 Cocoa,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,1,637,0,0,637,0,637
L'Oreal Paris Elvive Keratin Straight 72H Conditioner 175 ml - For Straight Smooth Hair,L'Oreal CPD,Bundle,3.61034E+12,26,6386.9,-49.13,0,6337.77,0,6337.77
"LOreal Paris- Air Mascara, 0.3 Fl Oz",L'Oreal CPD,LOreal Paris Makeup,30179493,8,10073.8,-1259.3,0,8814.5,0,8814.5
LOreal Paris- Color Riche Shine Stick 911 Mauve,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,1,825,0,0,825,0,825
NYX Professional Makeup- Cant Stop Wont Stop Concealer (Soft Beige7.5) 3.5 ml,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,6,6396,0,0,6396,0,6396
NYX Professional Makeup- Girls Nail Polish Vernis Ongless 10 ml  130,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,1,179.7,0,0,179.7,0,179.7
Maybelline New York- Super Stay Ink Crayon 85 Change is Good,L'Oreal CPD,Maybelline New York,30179141,3,2250,0,0,2250,0,2250
LOreal Paris-Matte Signature Liquid Eyeliner 04 Emeraude,L'Oreal CPD,LOreal Paris Makeup,30175259,7,8050,0,0,8050,0,8050
"L'Oreal Paris Pure Clay Detoxifying Charcoal Face Mask, Black 50 ml",L'Oreal CPD,LOMU,3.60052E+12,2,1958.6,0,0,1958.6,0,1958.6
NYX Professional Makeup- HD Studio Concealer Wand 01 Porcelain,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,1,419.4,0,0,419.4,0,419.4
L'Oreal Paris Elvive Dream Long Mask 300 ml - For Longer & Stronger Hair,L'Oreal CPD,L'Oreal Paris Haircare,3.60052E+12,16,11546.4,0,0,11546.4,0,11546.4
NYX Professional Makeup- Epic Wear Liquid Liner Black,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,76,85954.7,-1048.12,0,84906.58,0,84906.58
Garnier Color Naturals - 6.66 Intense Red Hair Color,L'Oreal CPD,Garnier,3.61034E+12,1,466.65,0,0,466.65,0,466.65
Nyx Professional Makeup Lingerie Push Up Lipstick 06 Push up,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,7,9058.9,0,0,9058.9,0,9058.9
LOreal Paris- Infallible Lip Liner 102 Darling Pink,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,2,1874.25,0,0,1874.25,0,1874.25
L'Oreal Paris Infallible 24H Matte Cover Liquid Foundation - 25 Rose Ivory,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,10,10000,0,0,10000,0,10000
Garnier Color Naturals - 7.7 Deer Brown Hair Color,L'Oreal CPD,Garnier CN,3.61034E+12,5,2416.3,0,0,2416.3,0,2416.3
"NYX Professional Makeup- Jumbo Eye Pencil, French Fries 609, 5.0 g",L'Oreal CPD,NYX Professional Makeup,8.00897E+11,7,4894.7,-206.93,-599.4,4088.37,0,4088.37
L'Oreal Paris Revitalift Classic Eye Cream 15 ML - Anti-Aging,L'Oreal CPD,L'Oreal Paris Skincare,3.60052E+12,2,2518.6,0,0,2518.6,0,2518.6
"Maybelline New York- Lasting Fix Spray, 100ml",L'Oreal CPD,Maybelline New York,3600531533694-100ml,25,17500,0,0,17500,0,17500
Maybelline New York- Superstay Matte Ink Liquid Lipstick - 05 Loyalist,L'Oreal CPD,Maybelline New York,3.60053E+12,8,8008.55,0,0,8008.55,0,8008.55
Garnier Color Naturals - 6.1 Dark Ash Blonde Hair Color,L'Oreal CPD,Garnier CN,3.61034E+12,4,2856.2,0,-768.52,2087.68,0,2087.68
LOreal Paris- Rouge Signature 116 Explore,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,10,14494.25,0,0,14494.25,0,14494.25
L'Oreal Paris Revitalift Classic Day Cream 50 ML - Anti-Aging,L'Oreal CPD,LOMU,3.60052E+12,3,3567.9,0,0,3567.9,0,3567.9
L'Oreal- Paris Casting Creme Gloss - 400 Brown Hair Color,L'Oreal CPD,L'Oreal Paris,3.60052E+12,25,28455,-313.32,0,28141.68,0,28141.68
L'Oreal Paris Excellence Creme - 7 Blonde Hair Color,L'Oreal CPD,L'Oreal Paris,3.06138E+12,-2,0,0,-2718,-2718,0,-2718
Garnier Color Naturals - 7 Blonde Hair Color,L'Oreal CPD,Garnier,3.60054E+12,1,466.65,0,0,466.65,0,466.65
NYX Professional Makeup- Wonder Stick Highlight And Contour Stick 03 Deep,L'Oreal CPD,NYX Professional Makeup,8.00898E+11,3,3567,0,0,3567,0,3567
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, 06 Medium Beige",L'Oreal CPD,NYX Professional Makeup,8.00898E+11,1,1189.3,0,0,1189.3,0,1189.3
LOreal Paris Infallible 24H Matte Cover Liquid Foundation - 230 Radiant Honey,L'Oreal CPD,LOreal Paris Makeup,3.60052E+12,1,1399,0,0,1399,0,1399
LOreal Paris- Infaillible Les Macarons Lipstick 830 Blackcurrant Crush,L'Oreal CPD,LOreal Paris Makeup,3.60052E+12,1,1250,0,0,1250,0,1250
Maybelline New York- New Fit Me Dewy + Smooth Liquid Foundation SPF 23 - 220 Natural Beige 30ml - For Normal to Dry Skin,L'Oreal CPD,Maybelline New York,6.9024E+12,37,37213.8,-1000,0,36213.8,0,36213.8
Maybelline New York- New Fit Me Matte + Poreless Liquid Foundation SPF 22 - 128 Warm Nude 30ml - For Normal to Oily Skin,L'Oreal CPD,Maybelline New York,6.9024E+12,150,144033.3,0,-3400,140633.3,0,140633.3
Maybelline New York- Fit Me Compact Powder 128 Warm Nude,L'Oreal CPD,Maybelline New York,6.9024E+12,82,47228.6,-420,-2000,44808.6,0,44808.6
L'Oreal Paris- Infallible 24H Matte Cover Liquid Foundation - 108 Caramel Beige,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,3,3798,-127.69,0,3670.31,0,3670.31
"Garnier- Skin Active Hydra Bomb Green Tea Tissue Face Mask, Hydrating and Rebalancing 32g",L'Oreal CPD,Garnier Skincare,6.9237E+12,29,7225.4,-89.03,0,7136.37,0,7136.37
L'Oreal Paris Revitalift Ginseng Glow Day Cream 50 ML - Anti-Aging,L'Oreal CPD,LOMU,3.60052E+12,2,2098.6,0,0,2098.6,0,2098.6
L'Oreal Paris Revitalift Laser x 3 Night Cream 50 ML - Anti-Aging,L'Oreal CPD,L'Oreal Paris Skincare,3.60052E+12,10,24667.4,0,0,24667.4,0,24667.4
NYX Professional Makeup- Can't Stop Won't Stop Setting Powder- 06 Banana,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,2,2253.9,0,0,2253.9,0,2253.9
Maybelline New York Super BB UltraCover BB Cream 01 Fair 30 ML,L'Oreal CPD,Maybelline New York,6.9024E+12,35,30584.15,0,0,30584.15,0,30584.15
L'Oreal- Paris Excellence Creme - 3.0 Dark Brown Hair Color,L'Oreal CPD,L'Oreal Paris,3.06138E+12,2,2878,0,0,2878,0,2878
L'Oreal Paris- Hair Care Gala Bundle 12,L'Oreal CPD,LOSC,bd8832,-1,0,0,-869.6,-869.6,0,-869.6
L'Oreal Paris Elvive Colour Protect Mask 300 ml - For Colored Hair,L'Oreal CPD,LOSC,3.60052E+12,10,8491.5,-1780.06,0,6711.44,0,6711.44
Maybelline New York- Master Shape Deep Brown Brow Pencil,L'Oreal CPD,Maybelline New York,3.60053E+12,22,15888.65,-98,0,15790.65,0,15790.65
Maybelline New York- New Fit Me Dewy+Smooth Liquid Foundation SPF 23 - 110 Porcelain 30ml - For Normal to Dry Skin,L'Oreal CPD,Maybelline New York,6.9024E+12,1,1274.25,0,0,1274.25,0,1274.25
L'Oreal Paris- Rouge Signature 113 Don't,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,2,2500,-175,0,2325,0,2325
